DATE	WGPT:HW1_1	WGPT:HW1_2	WGPT:HW1_3	WGPT:HW1_4	WGPT:HW1_5	WGPT:HW1_6	WGPT:HW1_7	WGPT:HW1_8	WGPT:HW2_10	WGPT:HW2_6	WGPT:HW2_7	WGPT:HW2_8	WGPT:HW2_9	WGPT:HW3_10	WGPT:HW3_11	WGPT:HW3_12	WGPT:HW3_13	WGPT:HW3_14	WGPT:HW3_15	WGPT:HW3_16	WGPT:HW3_17	WGPT:HW3_18	WGPT:HW3_19	WGPT:HW3_9	WWPT:HW1_1	WWPT:HW1_2	WWPT:HW1_3	WWPT:HW1_4	WWPT:HW1_5	WWPT:HW1_6	WWPT:HW1_7	WWPT:HW1_8	WWPT:HW2_10	WWPT:HW2_6	WWPT:HW2_7	WWPT:HW2_8	WWPT:HW2_9	WWPT:HW3_10	WWPT:HW3_11	WWPT:HW3_12	WWPT:HW3_13	WWPT:HW3_14	WWPT:HW3_15	WWPT:HW3_16	WWPT:HW3_17	WWPT:HW3_18	WWPT:HW3_19	WWPT:HW3_9	WBP9:HW1_1	WBP9:HW1_2	WBP9:HW1_3	WBP9:HW1_4	WBP9:HW1_5	WBP9:HW1_6	WBP9:HW1_7	WBP9:HW1_8	WBP9:HW2_10	WBP9:HW2_6	WBP9:HW2_7	WBP9:HW2_8	WBP9:HW2_9	WBP9:HW3_10	WBP9:HW3_11	WBP9:HW3_12	WBP9:HW3_13	WBP9:HW3_14	WBP9:HW3_15	WBP9:HW3_16	WBP9:HW3_17	WBP9:HW3_18	WBP9:HW3_19	WBP9:HW3_9	WTHP:HW1_1	WTHP:HW1_2	WTHP:HW1_3	WTHP:HW1_4	WTHP:HW1_5	WTHP:HW1_6	WTHP:HW1_7	WTHP:HW1_8	WTHP:HW2_10	WTHP:HW2_6	WTHP:HW2_7	WTHP:HW2_8	WTHP:HW2_9	WTHP:HW3_10	WTHP:HW3_11	WTHP:HW3_12	WTHP:HW3_13	WTHP:HW3_14	WTHP:HW3_15	WTHP:HW3_16	WTHP:HW3_17	WTHP:HW3_18	WTHP:HW3_19	WTHP:HW3_9
	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)
11 Apr 2026	3.7692605E+8	3.8909443E+8	4.4573446E+8	4.5547696E+8	4.1743469E+8	0	0	0	0	3.6159971E+8	3.7027891E+8	3.7193427E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.813408	83.313728	83.083145	84.082024	80.53952	0	0	0	0	81.380287	84.353165	77.671974	0	0	0	0	0	0	0	0	0	0	0	0	75.529259	76.329048	75.866623	76.984055	72.411354	0	0	0	0	73.7248	77.315308	70.155197	0	0	0	0	0	0	0	0	0	0	0	0
17 Jun 2026	4.3160963E+8	4.4526208E+8	5.1000637E+8	5.2128125E+8	4.776705E+8	0	0	0	0	4.1384451E+8	4.2388851E+8	4.2529696E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.389877	82.817757	82.544525	83.546303	80.052185	0	0	0	0	80.999443	83.902107	77.317146	0	0	0	0	0	0	0	0	0	0	0	0	75.127014	75.861191	75.35807	76.478546	71.947151	0	0	0	0	73.361328	76.888664	69.813019	0	0	0	0	0	0	0	0	0	0	0	0
12 Aug 2026	4.7699936E+8	4.9184643E+8	5.6327622E+8	5.7583168E+8	5.2760614E+8	0	0	0	0	4.572247E+8	4.6838016E+8	4.6960778E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.038239	82.419525	82.110504	83.10833	79.652481	0	0	0	0	80.693214	83.52742	77.032066	0	0	0	0	0	0	0	0	0	0	0	0	74.791679	75.484398	74.947952	76.064789	71.566963	0	0	0	0	73.066795	76.532516	69.535675	0	0	0	0	0	0	0	0	0	0	0	0
27 Sep 2026	5.1413002E+8	5.2993539E+8	6.0680678E+8	6.2041203E+8	5.6841562E+8	0	0	0	0	4.9272634E+8	5.0477149E+8	5.0587254E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.751892	82.102783	81.764824	82.758018	79.330696	0	0	0	0	80.448502	83.232033	76.804298	0	0	0	0	0	0	0	0	0	0	0	0	74.518791	75.184502	74.621162	75.733902	71.261055	0	0	0	0	72.831123	76.251808	69.313789	0	0	0	0	0	0	0	0	0	0	0	0
14 Nov 2026	5.5322234E+8	5.7002419E+8	6.526016E+8	6.6731328E+8	6.113488E+8	0	0	0	0	5.3011878E+8	5.4308608E+8	5.4407002E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.453087	81.779007	81.410698	82.398071	78.997086	0	0	0	0	80.198204	82.934677	76.570938	0	0	0	0	0	0	0	0	0	0	0	0	74.235008	74.878433	74.286636	75.394264	70.943459	0	0	0	0	72.590973	75.969856	69.087425	0	0	0	0	0	0	0	0	0	0	0	0
01 Jan 2027	5.9232218E+8	6.1011104E+8	6.9837197E+8	7.1419091E+8	6.5425766E+8	0	0	0	0	5.6753709E+8	5.8141414E+8	5.8229504E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.156654	81.464317	81.066063	82.046997	78.669144	0	0	0	0	79.954002	82.650047	76.341957	0	0	0	0	0	0	0	0	0	0	0	0	73.953522	74.580811	73.961021	75.062981	70.629295	0	0	0	0	72.356407	75.699585	68.865067	0	0	0	0	0	0	0	0	0	0	0	0
13 Feb 2027	6.280343E+8	6.4671898E+8	7.4014982E+8	7.5698029E+8	6.9342054E+8	0	0	0	0	6.0173222E+8	6.1643142E+8	6.1722771E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.887619	81.183968	80.758766	81.733521	78.374123	0	0	0	0	79.735443	82.399872	76.136093	0	0	0	0	0	0	0	0	0	0	0	0	73.698029	74.315437	73.670578	74.767075	70.346878	0	0	0	0	72.146111	75.461533	68.664825	0	0	0	0	0	0	0	0	0	0	0	0
09 Apr 2027	6.7283974E+8	6.9264486E+8	7.9253869E+8	8.1063827E+8	7.4252493E+8	0	0	0	0	6.4465805E+8	6.6038138E+8	6.6107904E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.553085	80.842262	80.383415	81.350281	78.009132	0	0	0	0	79.469101	82.100021	75.88501	0	0	0	0	0	0	0	0	0	0	0	0	73.381233	73.992622	73.316101	74.405693	69.997322	0	0	0	0	71.890984	75.177109	68.421638	0	0	0	0	0	0	0	0	0	0	0	0
29 May 2027	7.1321683E+8	7.3403162E+8	8.3972358E+8	8.5896678E+8	7.8674253E+8	0	0	0	0	6.8337088E+8	7.0001158E+8	7.0062598E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.254059	80.541771	80.053253	81.012619	77.686028	0	0	0	0	79.233749	81.839935	75.662079	0	0	0	0	0	0	0	0	0	0	0	0	73.097588	73.708046	73.003975	74.086952	69.688423	0	0	0	0	71.664307	74.929077	68.204445	0	0	0	0	0	0	0	0	0	0	0	0
20 Jul 2027	7.5581331E+8	7.7769594E+8	8.8948077E+8	9.0993011E+8	8.3336102E+8	0	0	0	0	7.2424122E+8	7.4184723E+8	7.4237574E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.941368	80.2323	79.712585	80.663673	77.349243	0	0	0	0	78.991623	81.576057	75.432442	0	0	0	0	0	0	0	0	0	0	0	0	72.801437	73.415283	72.682053	73.757744	69.366318	0	0	0	0	71.431664	74.677818	67.981308	0	0	0	0	0	0	0	0	0	0	0	0
